ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,26772.015645648004,21692.708664477366,35218.504980769445,26772.015645648004,26772.015645648004,1623.1432712223932,1623.1432712223932,1623.1432712223932,-143.62073538755587,-143.62073538755587,-143.62073538755587,1766.7640066099493,1766.7640066099493,1766.7640066099493,0.0,0.0,0.0,28395.158916870398
2022-01-02,26771.879792947002,22517.751968993714,36094.95280546188,26771.879792947002,26771.879792947002,2126.742183809937,2126.742183809937,2126.742183809937,336.8571727457052,336.8571727457052,336.8571727457052,1789.8850110642318,1789.8850110642318,1789.8850110642318,0.0,0.0,0.0,28898.62197675694
2022-01-03,26771.743940245997,22745.68261748511,36459.67780417445,26771.743940245997,26771.743940245997,2733.8066271450944,2733.8066271450944,2733.8066271450944,929.3201391011929,929.3201391011929,929.3201391011929,1804.4864880439015,1804.4864880439015,1804.4864880439015,0.0,0.0,0.0,29505.550567391092
2022-01-04,26771.608087545,21962.482309500534,35240.66413450744,26771.608087545,26771.608087545,1870.1817853917755,1870.1817853917755,1870.1817853917755,60.33995845958444,60.33995845958444,60.33995845958444,1809.841826932191,1809.841826932191,1809.841826932191,0.0,0.0,0.0,28641.789872936773
2022-01-05,26771.472234843997,20719.17693680761,34152.93090467275,26771.472234843997,26771.472234843997,763.2866217889305,763.2866217889305,763.2866217889305,-1041.9564665441935,-1041.9564665441935,-1041.9564665441935,1805.243088333124,1805.243088333124,1805.243088333124,0.0,0.0,0.0,27534.75885663293
2022-01-06,26771.336382142992,21602.92364546356,35006.3034099743,26771.336382142992,26771.336382142992,1780.0696080506755,1780.0696080506755,1780.0696080506755,-9.96093086600549,-9.96093086600549,-9.96093086600549,1790.030538916681,1790.030538916681,1790.030538916681,0.0,0.0,0.0,28551.405990193667
2022-01-07,26771.200529441994,22030.74538020053,35534.19472428456,26771.200529441994,26771.200529441994,1632.6446587592213,1632.6446587592213,1632.6446587592213,-130.97913750672797,-130.97913750672797,-130.97913750672797,1763.6237962659495,1763.6237962659495,1763.6237962659495,0.0,0.0,0.0,28403.845188201216
2022-01-08,26771.064676740993,22089.4701386115,35093.79402670541,26771.064676740993,26771.064676740993,1581.9326944831032,1581.9326944831032,1581.9326944831032,-143.62073538679692,-143.62073538679692,-143.62073538679692,1725.5534298699004,1725.5534298699004,1725.5534298699004,0.0,0.0,0.0,28352.997371224097
2022-01-09,26770.92882403999,21325.80227022465,35875.71385415942,26770.92882403999,26770.92882403999,2012.3489855235186,2012.3489855235186,2012.3489855235186,336.8571727468089,336.8571727468089,336.8571727468089,1675.4918127767098,1675.4918127767098,1675.4918127767098,0.0,0.0,0.0,28783.27780956351
2022-01-10,26770.79297133899,22432.95944867803,36083.56229043212,26770.79297133899,26770.79297133899,2542.602147380833,2542.602147380833,2542.602147380833,929.320139102131,929.320139102131,929.320139102131,1613.282008278702,1613.282008278702,1613.282008278702,0.0,0.0,0.0,29313.39511871982
2022-01-11,26770.65711863799,21142.263146367914,35042.25083943505,26770.65711863799,26770.65711863799,1599.3034665476207,1599.3034665476207,1599.3034665476207,60.33995845764031,60.33995845764031,60.33995845764031,1538.9635080899805,1538.9635080899805,1538.9635080899805,0.0,0.0,0.0,28369.96058518561
